HTML & CSS: design and build websites;;Jon Duckett;;9781118008188;;Educational;;490;;John Wiley & Sons, Inc.;;2011;;30;;true
JavaScript & jQuery: interactive front-end web development;;Jon Duckett;;9781118531648;;Educational;;621;;John Wiley & Sons, Inc.;;2014;;30;;true
The Little Book of Shit Jokes;;Sid Finch;;9781787830288;;Comedy;;95;;Summersdale Publishers Ltd;;2019;;10;;true
Helvetica: Homage To a Typeface;;Lars Müller;;9783037780466;;Art;;256;;Birkhäuser Publishers for Architecture;;2002;;16,30;;true
The Best New American Logo;;Gerry Rosentswieg;;9783910052428;;Art;;210;;Madison Square Press;;1994;;17,45;;true
Myseterious Scenes from a Dark Fantasy World;;(Various Artists);;9784756253927;;Art;;159;;PIE International Inc.;;2020;;39,95;;true
A Smile in the Mind;;David Stuart;;9780714838120;;Art;;240;;Phaidon Press Ltd;;1998;;24;;true
Homestuck: Book 1 (Acts 1 & 2);;Andrew Hussie;;9781421599403;;Fiction;;438;;VIZ Media Edition;;2011;;24,99;;true
Homestuck: Book 3 (Act 4);;Andrew Hussie;;9781421599410;;Fiction;;469;;VIZ Media Edition;;2011;;24,99;;true
